functional	molecule	path	normal_termination	stationary_point	scf_energy_count	last_scf_energy_au	dipole_x_debye	dipole_y_debye	dipole_z_debye	dipole_total_debye	polar_xx_au	polar_xy_au	polar_yy_au	polar_xz_au	polar_yz_au	polar_zz_au	polar_mean_au	frequency_count	min_frequency_cm1	imaginary_frequency_count
PBE	BH3	PBE/SMDB_BH3.log	True	True	3	-26.5554625471	0.0	0.0	0.0	0.0	14.003	-0.0	19.67	0.0	-0.0	19.67	17.781000000000002	6	1122.2275	0
PBE	BH3CO	PBE/SMDB_BH3CO.log	True	True	4	-139.861522387	-0.0001	1.0997	-0.0	1.0997	28.289	-0.002	47.859	0.0	0.0	28.288	34.812000000000005	12	290.0665	0
PBE	BH3NH3	PBE/SMDB_BH3NH3.log	True	True	4	-83.1269801332	-5.3248	-0.0	-0.0	5.3248	34.022	-0.0	32.053	-0.0	-0.0	32.053	32.709333333333326	18	257.9662	0
PBE	BaF	PBE/SMDB_BaF.log	True	True	4	-125.37164548	0.0	0.0	3.1653	3.1653	294.783	-0.0	294.783	0.0	-0.0	185.479	258.34833333333336	1	463.3021	0
PBE	BaF2	PBE/SMDB_BaF2.log	True	True	5	-225.272879036	-0.0	-0.0	6.776	6.776	25.542	0.0	44.224	0.0	-0.0	33.114	34.29333333333333	3	95.9624	0
PBE	BaH2	PBE/SMDB_BaH2.log	True	True	6	-26.6346829524	-0.0	0.0	6.7827	6.7827	51.257	-0.0	103.095	-0.0	-0.0	78.723	77.69166666666666	3	384.05	0
PBE	BaO	PBE/SMDB_BaO.log	True	True	4	-100.705441668	0.0	0.0	7.4863	7.4863	35.002	0.0	35.002	-0.0	0.0	100.657	56.887	1	657.5411	0
PBE	BaS	PBE/SMDB_BaS.log	True	True	4	-423.592035719	0.0	0.0	9.7627	9.7627	63.044	0.0	63.044	0.0	0.0	174.853	100.31366666666668	1	369.0107	0
PBE	Be2F4	PBE/SMDB_Be2F4.log	True	True	6	-429.01906135	-0.0	0.0	-0.0	0.0	22.762	0.0	24.675	-0.0	0.0	32.364	26.600333333333335	12	76.4089	0
PBE	Be2H4	PBE/SMDB_Be2H4.log	True	True	4	-31.7898992918	0.0	-0.0	0.0	0.0	33.197	-0.0	36.587	0.0	0.0	44.813	38.199000000000005	12	299.873	0
PBE	Be4	PBE/SMDB_Be4.log	True	True	4	-58.7152863035	0.0	-0.0	0.0	0.0	134.931	-0.0	134.931	-0.0	0.0	134.931	134.931	6	488.3678	0
PBE	BeC2H6	PBE/SMDB_BeC2H6.log	True	True	5	-94.4598444079	-0.0	0.0	0.0	0.0	40.463	-0.0	53.468	-0.0	-0.0	40.464	44.79833333333334	21	-10.6971	1
PBE	BeF2O2H4	PBE/SMDB_BeF2O2H4.log	True	True	6	-367.312397598	0.0	0.0	-3.0707	3.0707	35.06	0.0	31.944	0.0	0.0	29.622	32.208666666666666	21	141.8103	0
PBE	BeH2	PBE/SMDB_BeH2.log	True	True	3	-15.8653352642	-0.0	-0.0	-0.0	0.0	21.31	0.0	21.31	0.0	0.0	21.568	21.396	4	705.6632	0
PBE	BeS	PBE/SMDB_BeS.log	True	True	4	-412.720088097	0.0	0.0	-5.0111	5.0111	47.242	0.0	47.242	0.0	0.0	63.049	52.510999999999996	1	986.117	0
PBE	BiCl6-	PBE/SMDB_BiCl6-.log	True	True	4	-2975.17351358	0.0	0.0	0.0	0.0	160.52	0.0	160.52	-0.0	0.0	160.52	160.52	15	81.9768	0
PBE	BiF	PBE/SMDB_BiF.log	True	True	3	-314.421267477	0.0	0.0	2.7841	2.7841								1	532.1299	0
PBE	BiF3	PBE/SMDB_BiF3.log	True	True	3	-514.179967392	-0.0	-0.0	4.8276	4.8276	41.673	-0.0	41.674	-0.0	0.0	37.662	40.336333333333336	6	157.8553	0
PBE	BiH3	PBE/SMDB_BiH3.log	True	True	4	-216.425808064	0.0	0.0	1.1589	1.1589	50.78	0.0	50.78	-0.0	0.0	52.03	51.196666666666665	6	723.6346	0
PBE	BiO2	PBE/SMDB_BiO2.log	True	True	5	-364.958697898	-0.0	-0.0	3.5797	3.5797	34.744	0.0	76.202	-0.0	0.0	43.923	51.623	3	178.2096	0
PBE	Br2	PBE/SMDB_Br2.log	True	True	4	-5147.64452344	0.0	0.0	-0.0	0.0	29.289	0.0	29.289	-0.0	0.0	57.776	38.78466666666667	1	317.2081	0
PBE	BrCl	PBE/SMDB_BrCl.log	True	True	4	-3033.84820418	0.0	0.0	0.4748	0.4748	25.324	0.0	25.324	0.0	0.0	48.151	32.933	1	430.8651	0
PBE	BrO4-	PBE/SMDB_BrO4-.log	True	True	4	-2874.40302929	0.0	0.0	0.0	0.0	45.773	-0.0	45.773	-0.0	-0.0	45.773	45.773	9	307.2026	0
PBE	C2H2	PBE/SMDB_C2H2.log	True	True	4	-77.2576356831	0.0	0.0	-0.0	0.0	17.102	-0.0	17.102	-0.0	0.0	31.895	22.033	7	603.186	0
PBE	C2H3N	PBE/SMDB_C2H3N.log	True	True	5	-132.524208024	1.0898	-1.5677	-0.0	1.9093	24.296	1.57	33.158	-0.0	0.0	35.346	30.933333333333334	12	510.0458	0
PBE	C2H4	PBE/SMDB_C2H4.log	True	True	4	-78.5073222977	-0.0	-0.0	0.0	0.0	24.765	0.0	36.025	0.0	-0.0	20.208	26.99933333333333	12	804.2493	0
PBE	C2H6	PBE/SMDB_C2H6.log	True	True	4	-79.7386074029	-0.0	0.0	0.0	0.0	32.118	-0.0	28.106	0.0	-0.0	28.106	29.44333333333334	18	296.4948	0
PBE	C4H4	PBE/SMDB_C4H4.log	True	True	4	-154.513635826	0.0	0.0	-0.0	0.0	41.367	-0.0	41.368	0.0	-0.0	41.367	41.367333333333335	18	531.9253	0
PBE	C6H6	PBE/SMDB_C6H6.log	True	True	4	-232.036119364	-0.0	0.0	-0.0	0.0	82.175	-0.0	82.176	0.0	0.0	42.4	68.917	30	395.4266	0
PBE	CF4	PBE/SMDB_CF4.log	True	True	3	-437.301137595	-0.0	0.0	0.0	0.0	19.398	0.0	19.398	0.0	0.0	19.398	19.398	9	410.5424	0
PBE	CH2O	PBE/SMDB_CH2O.log	True	True	5	-114.427570573	-0.0	-2.2052	0.0	2.2052	18.31	-0.0	22.949	-0.0	-0.0	11.876	17.711666666666666	6	1152.357	0
PBE	CH2O2	PBE/SMDB_CH2O2.log	True	True	5	-189.517878169	2.3909	-0.0005	0.0	2.3909	23.997	-0.0	21.612	-0.0	-0.0	18.667	21.42533333333333	9	796.018	0
PBE	CH3N	PBE/SMDB_CH3N.log	True	True	4	-94.5537320283	-1.3277	1.3951	-0.0	1.9259	22.073	0.844	29.834	-0.0	-0.0	15.78	22.56233333333333	9	1036.8613	0
PBE	CH3OH	PBE/SMDB_CH3OH.log	True	True	5	-115.640812256	1.3309	0.8835	-0.0	1.5975	20.791	-0.6	23.176	0.0	-0.0	19.814	21.26033333333333	12	282.1272	0
PBE	CH4	PBE/SMDB_CH4.log	True	True	3	-40.4674997544	-0.0	0.0	0.0	0.0	16.757	-0.0	16.757	-0.0	-0.0	16.757	16.757	9	1285.4336	0
PBE	CO	PBE/SMDB_CO.log	True	True	4	-113.241129838	0.0	0.0	0.1989	0.1989	11.596	0.0	11.596	-0.0	-0.0	15.741	12.977666666666666	1	2128.8832	0
PBE	CO2	PBE/SMDB_CO2.log	True	True	4	-188.490170681	0.0	0.0	-0.0	0.0	11.848	0.0	11.848	0.0	-0.0	26.605	16.767	4	643.2138	0
PBE	CS2	PBE/SMDB_CS2.log	True	True	4	-834.182018657	0.0	0.0	-0.0001	0.0001	33.269	0.0	33.269	-0.0	0.0	92.615	53.050999999999995	4	389.1742	0
PBE	CaCl2	PBE/SMDB_CaCl2.log	True	True	4	-1597.63964547	-0.0	-0.0	-0.0	0.0	46.341	-0.0	46.341	0.0	0.0	81.25	57.97733333333334	4	-14.6182	2
PBE	CaF2	PBE/SMDB_CaF2.log	True	True	4	-877.14243039	-0.0	-0.0	0.0	0.0	19.708	-0.0	19.708	0.0	0.0	33.209	24.208333333333332	4	-76.149	2
PBE	CaH2	PBE/SMDB_CaH2.log	True	True	4	-678.506075743	0.0	0.0	-0.0	0.0	49.293	0.0	49.293	0.0	0.0	59.22	52.602	4	-293.1845	2
PBE	CdF2	PBE/SMDB_CdF2.log	True	True	3	-367.410707928	-0.0	0.0	0.0	0.0	22.179	-0.0	22.179	-0.0	-0.0	40.127	28.161666666666665	4	137.1675	0
PBE	CdMe2	PBE/SMDB_CdMe2.log	True	True	8	-247.496280784	-0.0	0.0002	-0.0003	0.0003	93.204	0.002	49.829	0.002	0.0	49.829	64.28733333333334	21	-5.7674	1
PBE	Cl2	PBE/SMDB_Cl2.log	True	True	4	-920.051173336	-0.0	-0.0	0.0	0.0	21.259	-0.0	21.259	0.0	-0.0	39.875	27.464333333333332	1	541.2037	0
PBE	ClF	PBE/SMDB_ClF.log	True	True	4	-559.763508816	0.0	0.0	0.8132	0.8132	13.379	-0.0	13.379	-0.0	-0.0	21.478	16.078666666666667	1	764.1292	0
PBE	ClF3	PBE/SMDB_ClF3.log	True	True	5	-759.263862543	-0.0	0.5868	0.0	0.5868	41.186	0.0	24.138	-0.0	-0.0	15.76	27.028000000000002	6	271.9448	0
PBE	CoCl3	PBE/SMDB_CoCl3.log	True	True	4	-2762.83743064	-0.0	0.0	0.0	0.0	103.221	0.0	103.215	0.0	-0.0	49.097	85.17766666666667	6	103.3433	0
PBE	CoF2	PBE/SMDB_CoF2.log	True	True	4	-1582.21782347	-0.0	0.0	0.0334	0.0334	20.43	0.0	41.212	0.0	-0.0	24.094	28.578666666666667	3	162.5453	0
PBE	CoF3	PBE/SMDB_CoF3.log	True	True	3	-1682.05968738	0.0	0.0	0.0	0.0	40.096	-0.0	40.094	0.0	0.0	21.669	33.952999999999996	6	143.8173	0
PBE	CrCO6	PBE/SMDB_CrCO6.log	True	True	4	-1724.02803377	0.0	-0.0	-0.0	0.0	128.353	-0.0	128.353	0.0	-0.0	128.353	128.353	33	56.5474	0
PBE	CrCl3	PBE/SMDB_CrCl3.log	True	True	7	-2424.51741373	0.0	0.0	0.6565	0.6565	54.16	-0.0	96.36	-0.0	-0.0	101.198	83.90599999999999	6	45.7338	0
PBE	CrF3	PBE/SMDB_CrF3.log	True	True	5	-1343.79870348	0.0	-0.0	0.063	0.063	25.231	0.0	38.444	0.0	-0.0	35.875	33.18333333333334	6	136.8065	0
PBE	CrO3	PBE/SMDB_CrO3.log	True	True	4	-1269.89077815	-0.0	-0.0	-0.0	0.0	47.856	0.0	47.856	0.0	0.0	24.719	40.14366666666667	6	-180.7284	1
PBE	CsF	PBE/SMDB_CsF.log	True	True	4	-120.020775572	0.0	0.0	7.549	7.549	26.089	-0.0	26.089	0.0	-0.0	45.005	32.39433333333333	1	346.469	0
PBE	CsH	PBE/SMDB_CsH.log	True	True	4	-20.7128823162	0.0	0.0	7.1655	7.1655	59.402	0.0	59.402	0.0	0.0	141.658	86.82066666666667	1	872.6683	0
PBE	CsO	PBE/SMDB_CsO.log	True	True	5	-95.2857208408	0.0	0.0	7.2795	7.2795	34.8	0.0	34.8	0.0	0.0	47.3	38.96666666666666	1	349.6405	0
PBE	Cu2	PBE/SMDB_Cu2.log	True	True	4	-3280.65362401	0.0	0.0	0.0	0.0	63.191	0.0	63.191	0.0	0.0	106.917	77.76633333333334	1	256.7273	0
PBE	Cu2O	PBE/SMDB_Cu2O.log	True	True	5	-3355.82746583	-0.0	0.0	-3.3411	3.3411	55.227	-0.0	98.422	0.0	0.0	56.077	69.90866666666666	3	129.0353	0
PBE	Cu2S	PBE/SMDB_Cu2S.log	True	True	6	-3678.75791298	0.0	0.0	-3.9208	3.9208	66.548	0.0	105.046	-0.0	0.0	81.801	84.465	3	126.8198	0
PBE	CuCN	PBE/SMDB_CuCN.log	True	True	4	-1733.09342433	0.0	0.0	6.5166	6.5166	31.73	0.0	31.73	0.0	0.0	62.306	41.922	4	251.7809	0
PBE	CuCl	PBE/SMDB_CuCl.log	True	True	4	-2100.40074861	0.0	0.0	4.4035	4.4035	35.599	0.0	35.599	0.0	0.0	52.458	41.218666666666664	1	406.911	0
PBE	CuF	PBE/SMDB_CuF.log	True	True	4	-1740.12488251	0.0	0.0	4.5063	4.5063	25.825	0.0	25.825	0.0	0.0	28.654	26.768	1	602.541	0
PBE	CuH	PBE/SMDB_CuH.log	True	True	4	-1640.89063765	0.0	0.0	2.2849	2.2849	34.167	0.0	34.167	0.0	0.0	38.443	35.592333333333336	1	1924.927	0
PBE	F2	PBE/SMDB_F2.log	True	True	3	-199.434143818	-0.0	-0.0	-0.0	0.0	4.475	0.0	4.475	0.0	0.0	11.462	6.803999999999999	1	994.2912	0
PBE	FeCO5	PBE/SMDB_FeCO5.log	True	True	4	-1829.99694503	-0.0	0.0	-0.0	0.0	101.233	-0.0	101.23	-0.0	0.0	112.131	104.86466666666666	27	50.6239	0
PBE	FeF2	PBE/SMDB_FeF2.log	True	True	3	-1463.20896193	0.0	-0.0	0.0	0.0	22.945	0.0	22.945	0.0	0.0	37.416	27.768666666666665	4	134.7676	0
PBE	FeF3	PBE/SMDB_FeF3.log	True	True	7	-1562.97617298	0.0	0.0	0.7323	0.7323	22.707	0.0	35.135	0.0	-0.0	40.467	32.769666666666666	6	-47.3206	1
PBE	FeO	PBE/SMDB_FeO.log	True	True	4	-1338.66665483	0.0	0.0	4.229	4.229	36.297	0.0	36.297	0.0	0.0	50.998	41.197333333333326	1	915.4908	0
PBE	Ferrocen	PBE/SMDB_Ferrocen.log	True	True	5	-1650.32971893	0.0	0.0	-0.0	0.0	117.251	-0.0	117.252	-0.0	-0.0	153.665	129.38933333333333	57	49.2166	0
PBE	GaCl	PBE/SMDB_GaCl.log	True	True	3	-2384.71648667	0.0	0.0	2.4004	2.4004	39.621	0.0	39.621	0.0	0.0	65.429	48.22366666666667	1	348.5212	0
PBE	GaCl3	PBE/SMDB_GaCl3.log	True	True	3	-3304.89805773	0.0	0.0	0.0	0.0	79.182	0.0	79.181	0.0	0.0	48.251	68.87133333333334	6	119.5532	0
PBE	GaF	PBE/SMDB_GaF.log	True	True	4	-2024.46843325	0.0	0.0	2.2765	2.2765	31.738	0.0	31.738	0.0	0.0	36.228	33.23466666666667	1	585.622	0
PBE	GaF2	PBE/SMDB_GaF2.log	True	True	4	-2124.26503379	-0.0	-0.0	2.2822	2.2822	29.069	-0.0	35.954	-0.0	-0.0	30.167	31.73	3	164.7188	0
PBE	GaH3	PBE/SMDB_GaH3.log	True	True	3	-1926.36380209	0.0	-0.0	0.0	0.0	37.555	0.0	37.555	0.0	0.0	24.567	33.22566666666666	6	703.1164	0
PBE	GaO	PBE/SMDB_GaO.log	True	True	4	-1999.75290203	0.0	0.0	3.6432	3.6432	33.821	0.0	33.821	0.0	0.0	45.81	37.81733333333333	1	766.7378	0
PBE	GeCl4	PBE/SMDB_GeCl4.log	True	True	4	-3917.07857669	-0.0	0.0	-0.0	0.0	84.262	0.0	84.262	0.0	0.0	84.262	84.262	9	116.6036	0
PBE	GeF3	PBE/SMDB_GeF3.log	True	True	3	-2376.22316735	-0.0	-0.0	1.9854	1.9854	32.938	0.0	32.939	-0.0	0.0	26.914	30.930333333333333	6	194.2646	0
PBE	GeF4	PBE/SMDB_GeF4.log	True	True	3	-2476.0981298	0.0	-0.0	-0.0	0.0	28.411	0.0	28.411	0.0	0.0	28.411	28.411	9	187.2646	0
PBE	GeH4	PBE/SMDB_GeH4.log	True	True	3	-2079.10658879	0.0	0.0	-0.0	0.0	35.365	0.0	35.365	0.0	0.0	35.365	35.365	9	785.5272	0
PBE	GeO	PBE/SMDB_GeO.log	True	True	4	-2151.93415371	0.0	0.0	3.1541	3.1541	26.799	0.0	26.799	-0.0	0.0	39.735	31.111	1	960.183	0
PBE	GeO2	PBE/SMDB_GeO2.log	True	True	4	-2227.08340338	-0.0	-0.0	-0.0	0.0	25.455	0.0	25.455	-0.0	0.0	49.212	33.374	4	192.686	0
PBE	H2	PBE/SMDB_H2.log	True	True	4	-1.16668367003	0.0	0.0	-0.0	0.0	3.55	-0.0	3.55	0.0	-0.0	7.057	4.719	1	4312.7687	0
PBE	H2CO3	PBE/SMDB_H2CO3.log	True	True	4	-264.872711918	-0.0	-0.2716	-0.0	0.2716	31.674	-0.0	29.969	0.0	-0.0	18.182	26.608333333333334	12	513.2758	0
PBE	H2O	PBE/SMDB_H2O.log	True	True	4	-76.3868343842	0.0	-1.8735	0.0	1.8735	9.557	0.0	8.901	0.0	-0.0	7.901	8.786333333333333	3	1595.9566	0
PBE	H2O2	PBE/SMDB_H2O2.log	True	True	5	-151.477675964	0.0	0.0	1.7502	1.7502	13.022	1.596	17.92	0.0	-0.0	11.6	14.180666666666667	6	376.3761	0
PBE	H2SO4	PBE/SMDB_H2SO4.log	True	True	6	-700.004660893	0.0	-0.9687	-0.0	0.9687	37.896	0.0	35.976	-0.0	-0.0	36.348	36.74	15	-267.6501	1
PBE	H3PO4	PBE/SMDB_H3PO4.log	True	True	6	-643.911544538	-0.0062	-0.0	0.3081	0.3081	38.672	0.0	38.678	-0.005	-0.0	39.176	38.842	18	-281.5266	3
PBE	HBr	PBE/SMDB_HBr.log	True	True	3	-2574.42423058	0.0	0.0	-0.8835	0.8835	18.522	0.0	18.522	-0.0	-0.0	22.751	19.93166666666667	1	2574.4686	0
PBE	HCBr3	PBE/SMDB_HCBr3.log	True	True	4	-7760.13890642	-0.0	-0.0	0.8457	0.8457	86.881	0.0	86.882	-0.0	0.001	53.58	75.781	9	145.3268	0
PBE	HCN	PBE/SMDB_HCN.log	True	True	4	-93.353457995	0.0	0.0	-2.9463	2.9463	13.153	-0.0	13.153	-0.0	0.0	23.279	16.528333333333332	4	724.8526	0
PBE	HCP	PBE/SMDB_HCP.log	True	True	4	-379.826009764	0.0	0.0	-0.3807	0.3807	27.423	0.0	27.423	-0.0	0.0	47.849	34.23166666666666	4	684.7862	0
PBE	HCl	PBE/SMDB_HCl.log	True	True	3	-460.642812881	0.0	0.0	-1.1317	1.1317	14.14	0.0	14.14	-0.0	-0.0	17.077	15.119	1	2896.2209	0
PBE	HF	PBE/SMDB_HF.log	True	True	3	-100.400950712	0.0	0.0	-1.8037	1.8037	3.953	0.0	3.953	0.0	0.0	6.214	4.706666666666667	1	3971.1876	0
PBE	HNC	PBE/SMDB_HNC.log	True	True	4	-93.3296476589	0.0	0.0	3.0871	3.0871	14.593	0.0	14.593	-0.0	0.0	24.373	17.852999999999998	4	458.9743	0
PBE	HNO	PBE/SMDB_HNO.log	True	True	6	-130.405102624	-1.3274	0.8193	-0.0	1.5598	14.656	-3.035	18.009	0.0	0.0	9.372	14.012333333333332	3	1505.0573	0
PBE	HNO2	PBE/SMDB_HNO2.log	True	True	4	-205.6082703	0.0	2.4734	-0.0	2.4734	29.329	0.0	18.589	0.0	0.0	11.873	19.930333333333333	6	768.5832	0
PBE	HNO3	PBE/SMDB_HNO3.log	True	True	6	-280.775416234	1.109	-1.7638	0.0	2.0834	31.29	-1.5	30.596	0.0	-0.0	15.109	25.665000000000003	9	478.61	0
PBE	HSH	PBE/SMDB_HSH.log	True	True	4	-399.24191057	0.0	-1.0228	0.0	1.0228	22.965	0.0	22.695	0.0	-0.0	21.097	22.252333333333336	3	1163.4715	0
PBE	HSSH	PBE/SMDB_HSSH.log	True	True	6	-797.296034714	-0.0	-0.0	1.1298	1.1298	35.356	2.605	55.284	0.0	-0.0	35.119	41.919666666666664	6	446.0981	0
PBE	HfF	PBE/SMDB_HfF.log	True	True	4	-147.809336807	0.0	0.0	1.5399	1.5399	95.045	0.0	95.045	0.0	0.0	81.062	90.384	1	658.435	0
PBE	HfF3	PBE/SMDB_HfF3.log	True	True	4	-347.676303831	0.0	0.0	-0.0	0.0	42.905	-0.0	42.906	0.0	0.0	65.339	50.38333333333333	6	56.1738	0
PBE	HfO	PBE/SMDB_HfO.log	True	True	4	-123.21624753	0.0	0.0	3.2128	3.2128	89.763	0.0	89.763	0.0	0.0	76.821	85.449	1	952.7807	0
PBE	HfO2	PBE/SMDB_HfO2.log	True	True	4	-198.452274292	-0.0	-0.0	7.4391	7.4391	30.324	-0.0	62.088	-0.0	0.0	51.288	47.9	3	295.8921	0
PBE	Hg2Cl2	PBE/SMDB_Hg2Cl2.log	True	True	6	-1227.24322439	-0.0001	0.0	0.0	0.0001	65.038	-0.01	203.348	0.0	0.0	65.038	111.14133333333332	6	49.4677	0
PBE	HgF2	PBE/SMDB_HgF2.log	True	True	4	-353.127528242	-0.0	0.0	-0.0	0.0	24.646	-0.0	24.646	0.0	0.0	44.019	31.10366666666667	4	170.9634	0
PBE	HgMe2	PBE/SMDB_HgMe2.log	True	True	3	-233.250820513	-0.0	0.0	0.0	0.0	49.16	-0.0	49.159	0.0	0.0	96.243	64.854	21	45.653	0
PBE	I2	PBE/SMDB_I2.log	True	True	4	-595.415288345	-0.0	-0.0	0.0	0.0	53.96	-0.0	53.96	0.0	0.0	95.649	67.85633333333334	1	214.6157	0
PBE	ICl	PBE/SMDB_ICl.log	True	True	4	-757.737513576	0.0	0.0	1.0914	1.0914	38.301	-0.0	38.301	-0.0	-0.0	63.3	46.63399999999999	1	377.5391	0
PBE	IH	PBE/SMDB_IH.log	True	True	4	-298.292903173	0.0	0.0	-0.432	0.432	32.895	0.0	32.895	-0.0	-0.0	35.76	33.85	1	2259.1322	0
PBE	IO4-	PBE/SMDB_IO4-.log	True	True	4	-598.343919408	0.0	0.0	-0.0	0.0	56.976	-0.0	56.976	-0.0	-0.0	56.976	56.976	9	245.1566	0
PBE	InCl	PBE/SMDB_InCl.log	True	True	4	-650.264128928	0.0	0.0	3.5356	3.5356	46.97	0.0	46.97	0.0	0.0	77.632	57.190666666666665	1	297.6671	0
PBE	InCl3	PBE/SMDB_InCl3.log	True	True	2	-1570.41485044	0.0	0.0	-0.0	0.0	92.682	-0.0	92.682	0.0	0.0	54.45	79.938	6	86.1652	0
PBE	InH	PBE/SMDB_InH.log	True	True	4	-190.715979473	0.0	0.0	0.9765	0.9765	42.93	0.0	42.93	0.0	-0.0	65.156	50.338666666666676	1	1386.0547	0
PBE	InH3	PBE/SMDB_InH3.log	True	True	3	-191.883906023	0.0	0.0	-0.0	0.0	48.363	0.0	48.363	0.0	0.0	32.027	42.91766666666666	6	580.0686	0
PBE	InO	PBE/SMDB_InO.log	True	True	4	-265.282812696	0.0	0.0	4.1642	4.1642	44.342	0.0	44.342	0.0	0.0	56.697	48.46033333333333	1	611.1389	0
PBE	IrF6	PBE/SMDB_IrF6.log	True	True	4	-703.21403015	0.0	-0.0	0.0	0.0	57.335	0.0	57.335	0.0	-0.0	57.578	57.416	15	200.2611	0
PBE	K2S	PBE/SMDB_K2S.log	True	True	14	-1597.54423244	0.0	-0.0	-0.419	0.419	112.032	-0.0	301.005	-0.0	-0.0	112.114	175.05033333333333	3	1.6485	0
PBE	K3P	PBE/SMDB_K3P.log	True	True	8	-2140.38384983	-0.0	0.0	-3.9946	3.9946	577.294	0.0	577.317	0.0	0.015	309.679	488.09666666666664	6	49.209	0
PBE	KBr	PBE/SMDB_KBr.log	True	True	4	-3173.6251183	0.0	0.0	-10.1559	10.1559	40.696	0.0	40.696	-0.0	0.0	65.106	48.83266666666666	1	212.5955	0
PBE	KCl	PBE/SMDB_KCl.log	True	True	4	-1059.83614825	0.0	0.0	9.8088	9.8088	32.464	-0.0	32.464	-0.0	-0.0	50.82	38.58266666666666	1	271.2449	0
